"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","This tc is to test window Handles","3","0","","0"
"0","","0","TC_01_LoginToStoreWebSite","1","0","","0"
